Model,Split,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Decision Tree,90:10,ADASYN (Fold 3),0.732556,0.012994,0.757,0.273684,0.13,0.176271,0.550034,26.0,731.0,69.0,174.0
DNN,90:10,ClusterCentroids (Fold 2),0.612444,0.077177,0.723,0.254777,0.2,0.22409,0.549731,40.0,683.0,117.0,160.0
XGBoost,90:10,NearMiss,0.383,0.002713,0.401,0.21045,0.725,0.326209,0.549406,,,,
Random Forest,90:10,ADASYN (Fold 2),0.796667,0.000609,0.799,0.4,0.01,0.019512,0.538775,2.0,797.0,3.0,198.0
MLP,90:10,ADASYN,0.501333,0.081766,0.655,0.220077,0.285,0.248366,0.529475,,,,
ResNet,80:20,SMOTE (Fold 5),0.668875,0.024256,0.6835,0.209476,0.21,0.209738,0.526431,84.0,1283.0,317.0,316.0
TabNet,80:20,NearMiss,0.356375,0.035396,0.3725,0.203331,0.7325,0.318305,0.521912,,,,
Logistic Regression,90:10,NearMiss (Fold 5),0.495111,0.009084,0.52,0.211934,0.515,0.300292,0.516106,103.0,417.0,383.0,97.0
