Model,Split,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Random Forest,90:10,NearMiss (Fold 1),0.380444,0.005368,0.416,0.22093,0.76,0.342342,0.536363,152.0,264.0,536.0,48.0
Logistic Regression,80:20,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.333333,0.470545,400.0,0.0,1600.0,0.0
MLP,90:10,SMOTEENN,0.200444,0.000648,0.202,0.199799,0.995,0.332776,0.463763,,,,
Decision Tree,80:20,ClusterCentroids (Fold 1),0.2665,0.012928,0.277,0.203851,0.9,0.33241,0.522093,360.0,194.0,1406.0,40.0
DNN,80:20,SMOTEENN (Fold 1),0.20125,0.00163,0.2005,0.199197,0.9925,0.331801,0.498251,397.0,4.0,1596.0,3.0
XGBoost,90:10,NearMiss,0.383,0.002713,0.401,0.21045,0.725,0.326209,0.549406,,,,
ResNet,90:10,SMOTEENN (Fold 4),0.318333,0.012187,0.332,0.203797,0.805,0.325253,0.504581,161.0,171.0,629.0,39.0
TabNet,80:20,ClusterCentroids,0.310625,0.045273,0.3635,0.204868,0.7575,0.322512,0.505943,,,,
