Model,Split,Feature_Selection,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
ResNet,90:10,FS_RF,NearMiss (Fold 1),,,0.622,0.267016,0.51,0.350515,0.575275,,,,
Random Forest,90:10,Baseline,NearMiss (Fold 1),0.380444,0.005368,0.416,0.22093,0.76,0.342342,0.536363,152.0,264.0,536.0,48.0
MLP,90:10,FS_LR,SMOTEENN,,,0.228,0.202083,0.97,0.334483,0.49895,,,,
Logistic Regression,80:20,Baseline,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.333333,0.470545,400.0,0.0,1600.0,0.0
Decision Tree,80:20,Baseline,ClusterCentroids (Fold 1),0.2665,0.012928,0.277,0.203851,0.9,0.33241,0.522093,360.0,194.0,1406.0,40.0
DNN,80:20,Baseline,SMOTEENN (Fold 1),0.20125,0.00163,0.2005,0.199197,0.9925,0.331801,0.498251,397.0,4.0,1596.0,3.0
XGBoost,90:10,FS_LR,NearMiss,,,0.387,0.211189,0.755,0.330055,0.513113,,,,
TabNet,90:10,FS_LR,NearMiss,,,0.35,0.207792,0.8,0.329897,0.546406,,,,
