Model,Split,Technique,Cross-Validation Accuracies +- std,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC,TP,TN,FP,FN
Logistic Regression,80:20,RandomUnderSampler,0.5035 ± 0.0071,0.498,0.1848,0.4425,0.2607,0.4648,177,819,781,223
Logistic Regression,80:20,SMOTETomek,0.5164 ± 0.0072,0.506,0.1797,0.4125,0.2504,0.4671,165,847,753,235
Logistic Regression,80:20,SMOTEENN,0.2000 ± 0.0000,0.2,0.2,1.0,0.3333,0.4657,400,0,1600,0
Logistic Regression,80:20,NearMiss,0.5050 ± 0.0159,0.507,0.201,0.4925,0.2855,0.4778,201,813,787,199
Logistic Regression,80:20,ClusterCentroids,0.4862 ± 0.0081,0.5,0.1781,0.415,0.2492,0.4642,178,822,778,222
Logistic Regression,80:20,ADASYN+Tomek,0.5126 ± 0.0082,0.4995,0.1813,0.4275,0.2547,0.4711,181,818,782,219
Logistic Regression,80:20,Borderline+Tomek,0.5180 ± 0.0069,0.524,0.1835,0.4,0.2516,0.4664,183,865,735,217
Logistic Regression,90:10,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.4863,0,800,0,200
Logistic Regression,90:10,SMOTE,0.5118 ± 0.0091,0.512,0.1883,0.435,0.2628,0.4703,87,425,375,113
Logistic Regression,90:10,ADASYN,0.4901 ± 0.0101,0.504,0.2004,0.495,0.2853,0.496,99,405,395,101
Logistic Regression,90:10,RandomUnderSampler,0.4963 ± 0.0089,0.513,0.2077,0.51,0.2952,0.5109,102,411,389,98
Logistic Regression,90:10,SMOTETomek,0.5116 ± 0.0096,0.513,0.1901,0.44,0.2655,0.4699,88,425,375,112
Logistic Regression,90:10,SMOTEENN,0.2000 ± 0.0000,0.2,0.2,1.0,0.3333,0.5255,200,0,800,0
Logistic Regression,90:10,NearMiss,0.5119 ± 0.0243,0.531,0.2227,0.55,0.317,0.5193,110,421,379,90
Logistic Regression,90:10,ClusterCentroids,0.4963 ± 0.0089,0.513,0.2077,0.51,0.2952,0.5109,102,411,389,98
Logistic Regression,90:10,ADASYN+Tomek,0.4900 ± 0.0113,0.502,0.1996,0.495,0.2845,0.4947,99,403,397,101
Logistic Regression,90:10,Borderline+Tomek,0.5074 ± 0.0086,0.51,0.1983,0.475,0.2798,0.4665,95,415,385,105
MLP,80:20,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.4908,0,1600,0,400
MLP,80:20,SMOTE,0.5358 ± 0.1009,0.559,0.2081,0.4225,0.2789,0.5297,169,949,651,231
MLP,80:20,ADASYN,0.5015 ± 0.052,0.504,0.1872,0.445,0.2635,0.4938,178,830,770,222
MLP,80:20,RandomUnderSampler,0.5039 ± 0.0084,0.5055,0.189,0.4475,0.2647,0.4795,179,832,768,221
MLP,80:20,SMOTETomek,0.5445 ± 0.0596,0.542,0.2007,0.4275,0.2732,0.5147,171,913,687,229
MLP,80:20,SMOTEENN,0.5030 ± 0.081,0.428,0.1798,0.4975,0.2642,0.4756,199,657,943,201
MLP,80:20,NearMiss,0.5828 ± 0.1407,0.494,0.1947,0.505,0.281,0.5085,202,786,814,198
MLP,80:20,ClusterCentroids,0.6865 ± 0.0191,0.7395,0.2312,0.1925,0.2101,0.4735,77,1402,198,323
MLP,80:20,ADASYN+Tomek,0.5039 ± 0.0192,0.528,0.2105,0.48,0.2927,0.5323,192,864,736,208
MLP,80:20,Borderline+Tomek,0.5425 ± 0.1037,0.5475,0.1993,0.4125,0.2687,0.5042,165,930,670,235
MLP,90:10,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.5042,0,800,0,200
MLP,90:10,SMOTE,0.6179 ± 0.1504,0.551,0.2198,0.49,0.3013,0.5278,98,453,347,102
MLP,90:10,ADASYN,0.6276 ± 0.1018,0.546,0.2155,0.485,0.2985,0.5228,97,449,351,103
MLP,90:10,RandomUnderSampler,0.5230 ± 0.0267,0.521,0.2105,0.49,0.2917,0.5092,98,423,377,102
MLP,90:10,SMOTETomek,0.6558 ± 0.0768,0.56,0.2241,0.485,0.3065,0.5315,97,463,337,103
MLP,90:10,SMOTEENN,0.5303 ± 0.0818,0.551,0.2239,0.505,0.3013,0.5335,101,450,350,99
MLP,90:10,NearMiss,0.5284 ± 0.0573,0.523,0.2272,0.56,0.3232,0.5658,112,411,389,88
