Model,Split,Feature_Selection,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
DNN,90:10,Baseline,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.515506,0.0,800.0,0.0,200.0
Logistic Regression,80:20,Baseline,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.333333,0.470545,400.0,0.0,1600.0,0.0
Logistic Regression,80:20,Baseline,NearMiss (Fold 5),0.5015,0.018117,0.508,0.20082,0.49,0.284884,0.500577,196.0,820.0,780.0,204.0
Logistic Regression,80:20,Baseline,ADASYN (Fold 2),0.504625,0.009028,0.5015,0.190031,0.4575,0.268525,0.465545,183.0,820.0,780.0,217.0
Logistic Regression,80:20,Baseline,ADASYN + Tomek (Fold 4),0.50575,0.009112,0.503,0.189331,0.4525,0.266962,0.476127,181.0,825.0,775.0,219.0
Logistic Regression,80:20,Baseline,RandomUnderSampler (Fold 2),0.5035,0.007144,0.508,0.189362,0.445,0.265672,0.476484,178.0,838.0,762.0,222.0
Logistic Regression,80:20,Baseline,SMOTE (Fold 4),0.517,0.007577,0.5165,0.191513,0.44,0.266869,0.468538,176.0,857.0,743.0,224.0
Logistic Regression,80:20,Baseline,SMOTETomek (Fold 4),0.516375,0.007196,0.516,0.189278,0.4325,0.263318,0.468819,173.0,859.0,741.0,227.0
Logistic Regression,80:20,Baseline,ClusterCentroids (Fold 5),0.51425,0.01286,0.5035,0.179459,0.415,0.250566,0.464481,166.0,841.0,759.0,234.0
Logistic Regression,80:20,Baseline,Borderline-2 + Tomek (Fold 5),0.53775,0.013197,0.5185,0.1812,0.4,0.249415,0.465955,160.0,877.0,723.0,240.0
Logistic Regression,80:20,Baseline,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.469383,0.0,1600.0,0.0,400.0
Logistic Regression,90:10,Baseline,SMOTEENN (Fold 1),0.2,0.0,0.2,0.2,1.0,0.333333,0.499131,200.0,0.0,800.0,0.0
Logistic Regression,90:10,Baseline,NearMiss (Fold 5),0.495111,0.009084,0.52,0.211934,0.515,0.300292,0.516106,103.0,417.0,383.0,97.0
