Model,Split,Feature_Selection,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
MLP,90:10,FS_LR,RandomUnderSampler,,,0.797,0.285714,0.01,0.019324,0.537781,,,,
MLP,90:10,FS_LR,SMOTETomek,,,0.545,0.19715,0.415,0.267311,0.507844,,,,
MLP,90:10,FS_LR,SMOTEENN,,,0.228,0.202083,0.97,0.334483,0.49895,,,,
MLP,90:10,FS_LR,NearMiss,,,0.479,0.211849,0.59,0.311757,0.518012,,,,
MLP,90:10,FS_LR,ClusterCentroids,,,0.785,0.142857,0.015,0.027149,0.470175,,,,
MLP,90:10,FS_LR,ADASYN+Tomek,,,0.795,0.0,0.0,0.0,0.504325,,,,
MLP,90:10,FS_LR,Borderline+Tomek,,,0.653,0.214008,0.275,0.2407,0.508687,,,,
DNN,90:10,FS_LR,SMOTEENN (Fold 3),,,0.278,0.201373,0.88,0.327747,0.491881,,,,
DNN,90:10,FS_LR,SMOTETomek (Fold 3),,,0.557,0.184416,0.355,0.242735,0.495781,,,,
DNN,90:10,FS_LR,SMOTE (Fold 1),,,0.589,0.195965,0.34,0.248629,0.496119,,,,
DNN,90:10,FS_LR,ADASYN + Tomek (Fold 3),,,0.606,0.202454,0.33,0.250951,0.511075,,,,
DNN,90:10,FS_LR,ADASYN (Fold 3),,,0.642,0.221831,0.315,0.260331,0.529037,,,,
DNN,90:10,FS_LR,ClusterCentroids (Fold 2),,,0.668,0.179612,0.185,0.182266,0.499769,,,,
DNN,90:10,FS_LR,Borderline-2 + Tomek (Fold 4),,,0.723,0.234483,0.17,0.197101,0.524481,,,,
DNN,90:10,FS_LR,RandomUnderSampler (Fold 3),,,0.755,0.228916,0.095,0.134276,0.526356,,,,
DNN,90:10,FS_LR,NearMiss (Fold 2),,,0.729,0.15534,0.08,0.105611,0.486291,,,,
DNN,90:10,FS_LR,None (Baseline),,,0.8,0.0,0.0,0.0,0.477641,,,,
ResNet,90:10,FS_LR,SMOTEENN (Fold 1),,,0.392,0.195522,0.655,0.301149,0.486219,,,,
ResNet,90:10,FS_LR,NearMiss (Fold 4),,,0.554,0.195545,0.395,0.261589,0.508569,,,,
ResNet,90:10,FS_LR,RandomUnderSampler (Fold 2),,,0.57,0.19086,0.355,0.248252,0.493837,,,,
ResNet,90:10,FS_LR,Borderline2 + Tomek (Fold 5),,,0.637,0.229236,0.345,0.275449,0.523219,,,,
ResNet,90:10,FS_LR,SMOTETomek (Fold 1),,,0.613,0.197411,0.305,0.239686,0.510613,,,,
ResNet,90:10,FS_LR,SMOTE (Fold 1),,,0.61,0.193548,0.3,0.235294,0.49555,,,,
ResNet,90:10,FS_LR,ADASYN (Fold 4),,,0.639,0.21147,0.295,0.246347,0.527088,,,,
ResNet,90:10,FS_LR,ClusterCentroids (Fold 2),,,0.637,0.172691,0.215,0.191537,0.456069,,,,
ResNet,90:10,FS_LR,ADASYN + Tomek (Fold 4),,,0.705,0.167832,0.12,0.139942,0.498878,,,,
ResNet,90:10,FS_LR,None (Baseline),,,0.8,0.0,0.0,0.0,0.511919,,,,
TabNet,90:10,FS_LR,None (Baseline),,,0.8,0.0,0.0,0.0,0.490231,,,,
TabNet,90:10,FS_LR,SMOTE,,,0.626,0.182482,0.25,0.21097,0.487213,,,,
TabNet,90:10,FS_LR,ADASYN,,,0.619,0.184669,0.265,0.217659,0.507625,,,,
TabNet,90:10,FS_LR,RandomUnderSampler,,,0.634,0.168,0.21,0.186667,0.453756,,,,
TabNet,90:10,FS_LR,SMOTETomek,,,0.653,0.202429,0.25,0.223714,0.484506,,,,
TabNet,90:10,FS_LR,SMOTEENN,,,0.323,0.203727,0.82,0.326368,0.51085,,,,
TabNet,90:10,FS_LR,NearMiss,,,0.35,0.207792,0.8,0.329897,0.546406,,,,
TabNet,90:10,FS_LR,ClusterCentroids,,,0.488,0.17364,0.415,0.244838,0.44225,,,,
TabNet,90:10,FS_LR,ADASYN+Tomek,,,0.662,0.2125,0.255,0.231818,0.525194,,,,
TabNet,90:10,FS_LR,Borderline+Tomek,,,0.568,0.188172,0.35,0.244755,0.481456,,,,
Logistic Regression,90:10,FS_RF,SMOTEENN (Fold 1),,,0.2,0.2,1.0,0.333333,0.515575,,,,
Logistic Regression,90:10,FS_RF,ADASYN (Fold 1),,,0.483,0.204842,0.55,0.298507,0.50595,,,,
Logistic Regression,90:10,FS_RF,NearMiss (Fold 2),,,0.501,0.207436,0.53,0.298172,0.506119,,,,
Logistic Regression,90:10,FS_RF,ADASYN + Tomek (Fold 1),,,0.497,0.201183,0.51,0.288543,0.503806,,,,
Logistic Regression,90:10,FS_RF,RandomUnderSampler (Fold 1),,,0.529,0.204793,0.47,0.285281,0.5118,,,,
Logistic Regression,90:10,FS_RF,ClusterCentroids (Fold 5),,,0.514,0.193133,0.45,0.27027,0.490263,,,,
Logistic Regression,90:10,FS_RF,SMOTETomek (Fold 1),,,0.518,0.188053,0.425,0.260736,0.493225,,,,
Logistic Regression,90:10,FS_RF,SMOTE (Fold 1),,,0.517,0.186253,0.42,0.258065,0.493038,,,,
Logistic Regression,90:10,FS_RF,Borderline-2 + Tomek (Fold 2),,,0.552,0.200483,0.415,0.270358,0.493206,,,,
Logistic Regression,90:10,FS_RF,None (Baseline),,,0.8,0.0,0.0,0.0,0.5124,,,,
Decision Tree,90:10,FS_RF,Borderline-2 + Tomek (Fold 4),,,0.326,0.198473,0.78,0.31643,0.494238,,,,
Decision Tree,90:10,FS_RF,SMOTEENN (Fold 5),,,0.326,0.187335,0.71,0.296451,0.446997,,,,
Decision Tree,90:10,FS_RF,SMOTE (Fold 4),,,0.45,0.206376,0.615,0.309045,0.513256,,,,
Decision Tree,90:10,FS_RF,ADASYN (Fold 5),,,0.446,0.197952,0.58,0.295165,0.5041,,,,
Decision Tree,90:10,FS_RF,SMOTETomek (Fold 4),,,0.468,0.205674,0.58,0.303665,0.513997,,,,
Decision Tree,90:10,FS_RF,ADASYN + Tomek (Fold 5),,,0.446,0.197952,0.58,0.295165,0.501481,,,,
Decision Tree,90:10,FS_RF,NearMiss (Fold 2),,,0.558,0.215962,0.46,0.29393,0.5449,,,,
Decision Tree,90:10,FS_RF,ClusterCentroids (Fold 1),,,0.598,0.195783,0.325,0.244361,0.495019,,,,
Decision Tree,90:10,FS_RF,RandomUnderSampler (Fold 5),,,0.654,0.185345,0.215,0.199074,0.492578,,,,
Decision Tree,90:10,FS_RF,Baseline (Fold 5),,,0.786,0.111111,0.01,0.018349,0.504231,,,,
Random Forest,90:10,FS_RF,None (Baseline),,,0.8,0.0,0.0,0.0,0.522475,,,,
Random Forest,90:10,FS_RF,SMOTE (Fold 2),,,0.712,0.194444,0.14,0.162791,0.477016,,,,
Random Forest,90:10,FS_RF,ADASYN (Fold 5),,,0.688,0.195652,0.18,0.1875,0.482931,,,,
Random Forest,90:10,FS_RF,RandomUnderSampler (Fold 5),,,0.499,0.199601,0.5,0.285307,0.4836,,,,
Random Forest,90:10,FS_RF,SMOTETomek,,,0.705,0.172414,0.125,0.144928,0.466416,,,,
Random Forest,90:10,FS_RF,SMOTEENN,,,0.456,0.19395,0.545,0.286089,0.470381,,,,
Random Forest,90:10,FS_RF,NearMiss (Fold 1),,,0.371,0.207367,0.76,0.325831,0.527559,,,,
Random Forest,90:10,FS_RF,ClusterCentroids,,,0.413,0.193344,0.61,0.293622,0.510356,,,,
Random Forest,90:10,FS_RF,ADASYN+Tomek,,,0.694,0.176829,0.145,0.159341,0.482366,,,,
Random Forest,90:10,FS_RF,BorderlineSMOTE+Tomek,,,0.766,0.173077,0.045,0.071429,0.485728,,,,
XGBoost,90:10,FS_RF,None (Baseline),,,0.795,0.0,0.0,0.0,0.476937,,,,
XGBoost,90:10,FS_RF,SMOTE,,,0.619,0.195286,0.29,0.2334,0.495937,,,,
XGBoost,90:10,FS_RF,ADASYN,,,0.58,0.174556,0.295,0.219331,0.479838,,,,
XGBoost,90:10,FS_RF,RandomUnderSampler,,,0.5,0.2,0.5,0.285714,0.513188,,,,
XGBoost,90:10,FS_RF,ClusterCentroids,,,0.42,0.18543,0.56,0.278607,0.49005,,,,
XGBoost,90:10,FS_RF,SMOTETomek,,,0.58,0.164634,0.27,0.204545,0.486619,,,,
XGBoost,90:10,FS_RF,SMOTEENN,,,0.401,0.198185,0.655,0.304297,0.479787,,,,
XGBoost,90:10,FS_RF,NearMiss,,,0.382,0.208101,0.745,0.325328,0.524913,,,,
XGBoost,90:10,FS_RF,ADASYN+Tomek,,,0.603,0.187302,0.295,0.229126,0.476875,,,,
XGBoost,90:10,FS_RF,Borderline+Tomek,,,0.627,0.202749,0.295,0.240326,0.494053,,,,
MLP,90:10,FS_RF,None (Baseline),,,0.8,0.0,0.0,0.0,0.510406,,,,
MLP,90:10,FS_RF,SMOTE,,,0.524,0.2,0.46,0.278788,0.48965,,,,
MLP,90:10,FS_RF,ADASYN,,,0.572,0.227273,0.475,0.307443,0.534463,,,,
MLP,90:10,FS_RF,RandomUnderSampler,,,0.53,0.191781,0.42,0.263323,0.501212,,,,
MLP,90:10,FS_RF,SMOTETomek,,,0.561,0.181333,0.34,0.236522,0.475112,,,,
MLP,90:10,FS_RF,SMOTEENN,,,0.223,0.199166,0.955,0.329594,0.444306,,,,
MLP,90:10,FS_RF,NearMiss,,,0.465,0.212693,0.62,0.316731,0.532875,,,,
MLP,90:10,FS_RF,ClusterCentroids,,,0.8,0.0,0.0,0.0,0.456072,,,,
MLP,90:10,FS_RF,ADASYN+Tomek,,,0.789,0.076923,0.005,0.00939,0.471113,,,,
MLP,90:10,FS_RF,Borderline+Tomek,,,0.798,0.416667,0.025,0.04717,0.487256,,,,
DNN,90:10,FS_RF,SMOTEENN (Fold 3),,,0.221,0.198123,0.95,0.327869,0.481931,,,,
DNN,90:10,FS_RF,ADASYN (Fold 4),,,0.515,0.193548,0.45,0.270677,0.48,,,,
DNN,90:10,FS_RF,SMOTETomek (Fold 5),,,0.512,0.188312,0.435,0.26284,0.479494,,,,
DNN,90:10,FS_RF,ADASYN + Tomek (Fold 5),,,0.498,0.17735,0.415,0.248503,0.486356,,,,
DNN,90:10,FS_RF,SMOTE (Fold 2),,,0.515,0.181208,0.405,0.250386,0.477469,,,,
DNN,90:10,FS_RF,RandomUnderSampler (Fold 5),,,0.635,0.2,0.275,0.231579,0.484194,,,,
DNN,90:10,FS_RF,Borderline-2 + Tomek (Fold 5),,,0.658,0.196581,0.23,0.211982,0.540144,,,,
DNN,90:10,FS_RF,ClusterCentroids (Fold 5),,,0.7,0.225275,0.205,0.21466,0.467816,,,,
DNN,90:10,FS_RF,NearMiss (Fold 5),,,0.778,0.176471,0.03,0.051282,0.506294,,,,
DNN,90:10,FS_RF,None (Baseline),,,0.8,0.0,0.0,0.0,0.50155,,,,
ResNet,90:10,FS_RF,SMOTEENN (Fold 5),,,0.481,0.217699,0.615,0.321569,0.514637,,,,
ResNet,90:10,FS_RF,NearMiss (Fold 1),,,0.622,0.267016,0.51,0.350515,0.575275,,,,
ResNet,90:10,FS_RF,Borderline2 + Tomek (Fold 5),,,0.629,0.223301,0.345,0.27112,0.531388,,,,
ResNet,90:10,FS_RF,SMOTETomek (Fold 5),,,0.582,0.188571,0.33,0.24,0.504231,,,,
ResNet,90:10,FS_RF,ADASYN (Fold 4),,,0.617,0.196013,0.295,0.235529,0.514225,,,,
ResNet,90:10,FS_RF,ADASYN + Tomek (Fold 2),,,0.599,0.172638,0.265,0.209073,0.481156,,,,
ResNet,90:10,FS_RF,SMOTE (Fold 1),,,0.598,0.165563,0.25,0.199203,0.481494,,,,
ResNet,90:10,FS_RF,ClusterCentroids (Fold 2),,,0.661,0.209205,0.25,0.22779,0.51015,,,,
ResNet,90:10,FS_RF,RandomUnderSampler (Fold 4),,,0.743,0.172414,0.075,0.10453,0.458703,,,,
ResNet,90:10,FS_RF,None (Baseline),,,0.8,0.0,0.0,0.0,0.504163,,,,
TabNet,90:10,FS_RF,None (Baseline),,,0.8,0.0,0.0,0.0,0.490231,,,,
TabNet,90:10,FS_RF,SMOTE,,,0.626,0.182482,0.25,0.21097,0.487213,,,,
TabNet,90:10,FS_RF,ADASYN,,,0.619,0.184669,0.265,0.217659,0.507625,,,,
TabNet,90:10,FS_RF,RandomUnderSampler,,,0.634,0.168,0.21,0.186667,0.453756,,,,
TabNet,90:10,FS_RF,SMOTETomek,,,0.653,0.202429,0.25,0.223714,0.484506,,,,
TabNet,90:10,FS_RF,SMOTEENN,,,0.323,0.203727,0.82,0.326368,0.51085,,,,
TabNet,90:10,FS_RF,NearMiss,,,0.35,0.207792,0.8,0.329897,0.546406,,,,
TabNet,90:10,FS_RF,ClusterCentroids,,,0.488,0.17364,0.415,0.244838,0.44225,,,,
TabNet,90:10,FS_RF,ADASYN+Tomek,,,0.662,0.2125,0.255,0.231818,0.525194,,,,
TabNet,90:10,FS_RF,Borderline+Tomek,,,0.568,0.188172,0.35,0.244755,0.481456,,,,
